I
1200 Version - data cycle 2609, build 20260904, metadata NavXP1200. OpenAIRAC 1.0.0

 3 32.481330556 -99.863452778  1809 11370 130  10.000 ABI  ENRT  K4 NARABILENE VORTAC
 3 35.043794444 -106.816311111  5749 11320 130  13.000 ABQ  ENRT  K2 NARALBUQUERQUE VORTAC
 3 45.417355556 -98.368719444  1303 11300 130   7.000 ABR  ENRT  K3 NARABERDEEN VOR-DME
 3 35.111705556 -105.039927778  5450 11780 130  12.000 ACH  ENRT  K2 NARANTON CHICO VORTAC
 3 41.281875000 -70.026702778    77 11620 130 -15.000 ACK  ENRT  K6 NARNANTUCKET VOR-DME
 3 41.107902778 -81.201519444  1197 11440  40  -4.000 ACO  ENRT  K5 NARAKRON VOR-DME
 3 31.662230556 -97.269013889   507 11530 130   9.000 ACT  ENRT  K4 NARWACO VORTAC
 3 40.981441667 -124.108319444   194 11505  40  17.000 ACV  ENRT  K2 NARARCATA VOR-DME
 3 39.455875000 -74.576313889    67 11715  40 -10.000 ACY  ENRT  K6 NARATLANTIC CITY VORTAC
 3 34.211586111 -97.168227778   937 11670 130   6.000 ADM  ENRT  K4 NARARDMORE VORTAC
 3 38.807219444 -76.866255556   263 11310  40 -10.000 ADW  ENRT  K6 NARANDREWS VORTAC
 3 43.681736111 -93.370755556  1252 10980  25   1.000 AEL  ENRT  K3 NARALBERT LEA VOR-DME
 3 31.256730556 -92.500972222    76 11610 130   3.000 AEX  ENRT  K4 NARALEXANDRIA VORTAC
 3 40.278644444 -80.040855556  1285 11000  40  -9.000 AGC  ENRT  K6 NARALLEGHENY VOR-DME
 3 31.185505556 -98.141858333  1191 11250 130   5.000 AGJ  ENRT  K4 NARGOOCH SPRINGS VORTAC
 3 40.267863889 -120.151966667  4005 10900  25  17.000 AHC  ENRT  K2 NARAMEDEE VOR-DME
 3 33.947594444 -83.324758333   793 11695 130   0.000 AHN  ENRT  K7 NARATHENS VOR-DME
 3 42.055630556 -102.804444444  3925 11180  40  11.000 AIA  ENRT  K3 NARALLIANCE VOR-DME
 3 40.017025000 -80.817227778  1307 11710 130  -7.000 AIR  ENRT  K5 NARBELLAIRE VOR-DME
 3 58.724713889 -156.752347222    95 11280 130  16.000 AKN  ENRT  PA NARKING SALMON VORTAC
 3 40.155555556 -103.179713889  4623 11440 130  13.000 AKO  ENRT  K2 NARAKRON VOR-DME
 3 42.747280556 -73.803183333   273 11530  40 -13.000 ALB  ENRT  K6 NARALBANY VORTAC
 3 42.556497222 -92.398925000   866 11220  40   0.000 ALO  ENRT  K3 NARWATERLOO VOR-DME
 3 37.349158333 -105.815533333  7535 11390 130  13.000 ALS  ENRT  K2 NARALAMOSA VORTAC
 3 46.086977778 -118.292536111  1150 11640  40  14.000 ALW  ENRT  K1 NARWALLA WALLA VOR-DME
 3 38.934591667 -77.466702778   296 11350  40  -8.000 AML  ENRT  K6 NARARMEL VOR-DME
 3 55.060408333 -131.578400000   184 11710 130  21.000 ANN  ENRT  PA NARANNETTE ISLAND VOR-DME
 3 17.125880556 -61.800166667   400 11450 130 -15.000 ANU  ENRT  TA NARV. C. BIRD VOR-DME
 3 42.569113889 -99.989661111  2605 11270  40   9.000 ANW  ENRT  K3 NARAINSWORTH VOR-DME
 3 39.095425000 -94.128836111   878 11515  40   7.000 ANX  ENRT  K3 NARNAPOLEON VORTAC
 3 40.151063889 -82.588302778  1354 11670 130  -6.000 APE  ENRT  K5 NARAPPLETON VORTAC
 3 45.082777778 -83.557002778   678 11650  40  -7.000 APN  ENRT  K5 NARALPENA VORTAC
 3 40.253341667 -74.907613889   294 10820  40 -10.000 ARD  ENRT  K6 NARYARDLEY VOR-DME
 3 36.110019444 -90.953694444   265 11450 130   4.000 ARG  ENRT  K4 NARWALNUT RIDGE VORTAC
 3 43.952130556 -76.064627778   374 10980  40 -12.000 ART  ENRT  K6 NARWATERTOWN VORTAC
 3 46.161700000 -123.880375000    11 11400  40  15.000 AST  ENRT  K1 NARASTORIA VOR-DME
 3 38.809811111 -75.211322222     5 11260  40  -9.000 ATR  ENRT  K6 NARWATERLOO VOR-DME
 3 44.320019444 -69.796563889   349 11495  40 -18.000 AUG  ENRT  K6 NARAUGUSTA VOR-DME
 3 35.646975000 -119.978605556   710 11710 130  16.000 AVE  ENRT  K2 NARAVENAL VOR-DME
 3 19.286586111 166.627319444    16 11350 130   6.000 AWK  ENRT  PW NARWAKE ISLAND VORTAC
 3 39.737522222 -88.856430556   708 11720 130   3.000 AXC  ENRT  K5 NARADDERS VORTAC
 3 45.958388889 -95.232636111  1367 11595  40   7.000 AXN  ENRT  K3 NARALEXANDRIA VOR-DME
 3 31.269425000 -82.556444444   155 11240  40   0.000 AYS  ENRT  K7 NARWAYCROSS VORTAC
 3 43.116852778 -88.284344444  1070 11640 130   2.000 BAE  ENRT  K5 NARBADGER VOR-DME
 3 42.161958333 -72.716200000   267 11300  40 -14.000 BAF  ENRT  K6 NARBARNES VORTAC
 3 39.171063889 -76.661255556   150 11510  40 -11.000 BAL  ENRT  K6 NARBALTIMORE VORTAC
 3 40.569080556 -116.922255556  4544 11220 130  13.000 BAM  ENRT  K2 NARBATTLE MOUNTAIN VORTAC
 3 37.689188889 -112.303902778  9039 11280 130  15.000 BCE  ENRT  K2 NARBRYCE CANYON VORTAC
 3 32.364386111 -64.689572222    18 11390 130 -15.000 BDA  ENRT  TX NARBERMUDA VOR-DME
 3 45.117669444 -95.127061111  1124 11370  25   4.000 BDH  ENRT  K3 NARWILLMAR VOR-DME
 3 41.160705556 -73.124486111     6 10880  40 -12.000 BDR  ENRT  K6 NARBRIDGEPORT VOR-DME
 3 60.784836111 -161.824330556   105 11410 130  14.000 BET  ENRT  PA NARBETHEL VORTAC
 3 41.894163889 -103.482030556  4169 11260 130  13.000 BFF  ENRT  K3 NARSCOTTSBLUFF VORTAC
 3 30.612722222 -88.055494444    12 11635  40   4.000 BFM  ENRT  K7 NARBROOKLEY VORTAC
 3 35.236944444 -99.206166667  1780 11000  40   5.000 BFV  ENRT  K4 NARBURNS FLAT VORTAC
 3 13.075047222 -59.483830556   170 11270 130 -15.000 BGI  ENRT  TB NARADAMS VOR-DME
